country,gender,speech_text,audio_file_name
peru.,male,El jugador salió en el minuto veintinueve por una molestia en el tobillo izquierdo,audioPocos/pem_04310_00997200340
peru.,male,No te recomiendo que compres un carro usado porque es muy difícil saber en qué condición se encuentra.,audioPocos/pem_07049_01884423634
venezuela.,male,Para hacer esa receta no necesitas mucha pimienta negra,audioPocos/vem_03397_01347985545
colombia.,female,Hazme la cita con el doctor.,audioPocos/cof_08421_01597746806
argentina.,female,¿Cuántas medallas ha ganado?,audioPocos/arf_02121_00098417517
colombia.,female,Los zapatos se estropearon por la lluvia torrencial de ayer,audioPocos/cof_01523_00872061424
peru.,male,Es un medicamento que todavía está en fase experimental y puede ocasionar problemas con los efectos secundarios,audioPocos/pem_02121_00354300664
argentina.,female,"Ramón, ¿podrás proponer alguna película para hoy a la noche?",audioPocos/arf_01523_01360624606
peru.,female,"Según estadísticas del gobierno, hay más accidentes de ciclistas que de peatones.",audioPocos/pef_09334_00429306333
venezuela.,male,Volar en avión en años recientes es muy incómodo en clase turista sobre todo si eres grande,audioPocos/vem_09334_01973206610
colombia.,female,¿Sabes escanear libros?,audioPocos/cof_08421_00789855600
peru.,female,Las temáticas de la últimas exposiciones en el museo han sido poco variadas.,audioPocos/pef_09334_02114259432
peru.,female,¿Hay algún vuelo más económico pasando por las islas Canarias?,audioPocos/pef_01208_01781544193
argentina.,male,Los cuentos de hadas no le gustan.,audioPocos/arm_01523_01882479989
peru.,male,¿Y tienes algo en mente en cuestión de precio?,audioPocos/pem_02436_01121973477
peru.,male,Quiero escuchar la mejor música pop de los años ochenta.,audioPocos/pem_07049_00132389842
peru.,female,Tiene una película muy famosa que se llama Ojos Bien Cerrados,audioPocos/pef_04310_00578927491
colombia.,male,Busca bolsas que cuesten entre tres mil y cinco mil pesos.,audioPocos/com_02436_01818883100
peru.,male,El caballo está amarrado,audioPocos/pem_02484_00719739725
venezuela.,male,Los hamster comen zanahorias,audioPocos/vem_03397_00904616643
colombia.,male,¿Puedes ayudarme a meditar?,audioPocos/com_02484_01698402254
peru.,female,Te voy a mandar el menú de comida a tu correo electrónico.,audioPocos/pef_07049_00572242355
venezuela.,male,¿Hay algún vuelo más económico pasando por las islas Canarias?,audioPocos/vem_09697_01861098743
colombia.,female,El jeroglífico tiene un pez amarillo,audioPocos/cof_08784_00169356796
argentina.,female,Hace dieciseis grados y está nublado,audioPocos/arf_03398_01690961333
