audio_file_name,Speaker,Gender,Country,Recording,AdditionalInfo
pem_02121_00652861743,pem02121speaker,m,pe,La temperatura máxima para mañana va a ser de veintinueve grados centígrados,
pem_01523_00130535799,pem01523speaker,m,pe,El Llano en Llamas es un clásico de Juan Rulfo,
clm_02121_01391550317,clm02121speaker,m,cl,¿Las ruedas van en la parte de atrás o en la parte de adelante?,
arf_01208_00842615093,arf01208speaker,f,ar,¿Tenés agua?,
arf_02484_00142190344,arf02484speaker,f,ar,¿En cuántos juegos olímpicos ha participado?,
com_08784_02066767235,com08784speaker,m,co,De postre voy a servir merengue,
pef_01208_00796263418,pef01208speaker,f,pe,¿En qué calle está la casa?,
clf_09697_00601137186,clf09697speaker,f,cl,Más o menos ¿qué presupuesto está dispuesto a pagar?,
pem_01523_01815488985,pem01523speaker,m,pe,¿Hay algún restaurante abierto cerca de la sala Caracol para ir después del concierto?,
arf_01208_00083881986,arf01208speaker,f,ar,¿Cuál es la pizza con menos calorías?,
com_01523_00984800635,com01523speaker,m,co,Siempre es interesante ver cosas nuevas,
pem_02121_00247177614,pem02121speaker,m,pe,¿Hay algún trabajo en particular que le haya dado como el salto a la fama por decirlo así?,
arm_07508_00810501611,arm07508speaker,m,ar,La calle está llena de hoyos,
cof_06136_01423387832,cof06136speaker,f,co,Necesito todos los datos de las personas que van a asistir al evento,
cof_03034_01146193986,cof03034speaker,f,co,Ya no aguanto más este frío.,
com_01523_01047048387,com01523speaker,m,co,¿En qué calle está la casa?,
pem_01523_01136193456,pem01523speaker,m,pe,Los hamsters comen zanahorias,
vef_07049_01230790616,vef07049speaker,f,ve,Aquí puedo ver que tu carro ha necesitado una grúa más de tres veces este año,
arf_01208_00630320167,arf01208speaker,f,ar,Son una delicia los corazones de pollo,
clm_07508_01109612857,clm07508speaker,m,cl,Tocar el xilófono es mi hobby favorito,
vef_07049_02080613392,vef07049speaker,f,ve,¿Qué necesito para aplicar para una licencia de conducir?,
com_01523_00819269643,com01523speaker,m,co,Estás seguro que quieres comprar una mascota porque también la puedes adoptar,
clf_09697_01462923776,clf09697speaker,f,cl,Los mejores lugares para entablar primeras citas en pareja se encuentran en la zona sur de la ciudad,
